MATRIZ DE TRAZABILIDAD,Actualización:,7 de agosto de 2026
"Nombre del proyecto: ""Brazo robótico programable mediante ROS para automatización de tareas repetitivas basado en grabación y reproducción de trayectorias"""
Categoría,Código,Identificación Requisito,Descripción del Requisito,Objetivo,Implementación,Importancia,Tarea Asociada,Fecha,Comentario,Avance [%]
Usuario y operación,R1.0,Enseñanza manual de tareas,"El usuario deberá poder enseñar una tarea moviendo manualmente el brazo, sin necesidad de programar.",Facilitar la programación por demostración.,Modo de operación manual para enseñanza de trayectorias.,ALTA,T26,17/8/2026,,"0,00%"
Usuario y operación,R1.1,Facilidad de uso,El usuario deberá poder operar el brazo sin conocimientos de programación ni robótica.,Reducir la barrera de uso para operarios o estudiantes.,"Flujo de operación simple para enseñar, guardar, seleccionar, reproducir y borrar tareas.",ALTA,"T26, T33, T34",25/9/2026,,"0,00%"
Usuario y operación,R1.2,Preparación rápida de tareas,El usuario deberá poder enseñar una nueva tarea de manera rápida y sencilla.,Disminuir el tiempo necesario para adaptar el brazo a una nueva operación.,"Flujo guiado de enseñanza, grabación y guardado.",MEDIA,"T26, T27, T30",10/9/2026,,"0,00%"
Manipulación y movimiento,R2.0,Manipulación de objetos,"El brazo robótico deberá permitir agarrar, sostener, trasladar y liberar objetos livianos entre posiciones predefinidas.",Automatizar tareas simples de traslado de objetos.,Sistema de manipulación y control de movimiento del brazo.,ALTA,T42,1/10/2026,,"0,00%"
Manipulación y movimiento,R2.1,Precisión funcional,El brazo deberá mover objetos entre posiciones predefinidas con precisión suficiente para tareas de pick-and-place.,Cumplir tareas de manipulación repetitiva de forma confiable.,Control coordinado del movimiento del brazo.,ALTA,"T43, T44",3/10/2026,,"0,00%"
Manipulación y movimiento,R2.2,Repetibilidad,El sistema deberá ejecutar una misma trayectoria varias veces obteniendo resultados consistentes.,Garantizar comportamiento estable en tareas repetitivas.,Control de reproducción de trayectorias y validación de movimientos.,ALTA,T43,2/10/2026,,"0,00%"
Gestión de trayectorias,R3.0,Grabación de trayectorias,El sistema deberá registrar la secuencia de movimientos realizada por el usuario durante la enseñanza de una tarea.,Permitir que una tarea manual pueda ser almacenada para su posterior automatización.,Módulo de registro de trayectorias.,ALTA,T27,1/9/2026,,"0,00%"
Gestión de trayectorias,R3.1,Almacenamiento de tareas,El sistema deberá permitir guardar las trayectorias registradas por el usuario.,Conservar tareas enseñadas para reutilizarlas.,Gestor de trayectorias almacenadas.,ALTA,T28,3/9/2026,,"0,00%"
Gestión de trayectorias,R3.2,Reproducción automática,El brazo robótico deberá ejecutar automáticamente una trayectoria previamente guardada.,Automatizar tareas repetitivas sin intervención continua del usuario.,Modo de reproducción de trayectorias.,ALTA,T30,10/9/2026,,"0,00%"
Gestión de trayectorias,R3.3,Selección de trayectorias,El usuario deberá poder seleccionar qué trayectoria almacenada desea ejecutar.,Permitir el uso de distintas tareas previamente enseñadas.,Menú o lógica de selección de tareas desde la interfaz local.,ALTA,T29,5/9/2026,,"0,00%"
Gestión de trayectorias,R3.4,Eliminación de tareas,El usuario deberá poder borrar trayectorias almacenadas que ya no sean necesarias.,Mantener ordenado el conjunto de tareas disponibles.,Función de eliminación dentro del gestor de trayectorias.,MEDIA,T31,6/9/2026,,"0,00%"
Gestión de trayectorias,R3.5,Conservación de tareas,Las trayectorias grabadas deberán conservarse luego de apagar y volver a encender el equipo.,Evitar que el usuario tenga que enseñar nuevamente una tarea ya registrada.,Almacenamiento persistente de trayectorias.,ALTA,T28,3/9/2026,,"0,00%"
Interfaz de usuario,R4.0,Interfaz de usuario local,El sistema deberá contar con una interfaz local que permita operar las funciones principales del brazo.,Permitir el uso del producto sin depender de una computadora externa durante la operación normal.,Interfaz local de operación integrada al equipo.,ALTA,"T33, T34, T60",25/9/2026,,"0,00%"
Interfaz de usuario,R4.1,Visualización de estado,"El sistema deberá informar al usuario el estado actual del brazo, como listo, grabando, reproduciendo, detenido o error.",Brindar retroalimentación clara durante la operación.,Indicadores de estado en la interfaz local.,ALTA,T33,25/9/2026,,"0,00%"
Seguridad e inicialización,R5.0,Encendido y apagado seguro,El usuario deberá poder encender y apagar el brazo robótico de forma sencilla y segura.,Evitar arranques o apagados inesperados que afecten la operación.,Secuencia de inicio y apagado controlada.,ALTA,T35,30/9/2026,,"0,00%"
Seguridad e inicialización,R5.1,Detención de operación,El sistema deberá permitir detener la ejecución de una tarea ante una situación inesperada o condición anormal.,"Proteger al usuario, al equipo y al entorno de trabajo.",Función de parada o cancelación de tarea.,ALTA,T35,30/9/2026,,"0,00%"
Seguridad e inicialización,R5.2,Inicialización del sistema,El brazo deberá realizar una preparación inicial antes de comenzar la operación normal.,Asegurar que el sistema se encuentre en condiciones conocidas antes de operar.,Procedimiento de inicialización del brazo.,ALTA,T36,18/9/2026,,"0,00%"
