Control de calidad,Última actualización: 03-07-2026
ID,Tarea Asociada,Requerimiento de calidad,Cómo se documenta el cumplimiento,Evidencia / Criterio de aceptación
Q1,T26,"El usuario debe poder enseñar una tarea moviendo manualmente el brazo, sin escribir código.",Documentar el flujo de operación del modo enseñanza y registrar una prueba funcional de grabación.,"El usuario mueve manualmente el brazo, inicia la grabación y queda registrada una trayectoria válida."
Q2,T26,El sistema debe ser fácil de operar mediante acciones simples.,"Manual de uso, diagrama de flujo de operación e interfaz documentada.","El usuario puede ejecutar las funciones principales: iniciar, grabar, guardar, seleccionar, reproducir, borrar, detener, agarrar y liberar."
Q3,"T26, T27, T30",El sistema debe permitir preparar una nueva tarea rápidamente.,"Registro de ensayo de enseñanza de una nueva tarea, indicando pasos realizados y tiempo aproximado.","Una nueva trayectoria puede enseñarse, guardarse y quedar disponible para reproducción en pocos minutos."
Q4,T42,"El brazo debe agarrar, sostener, trasladar y liberar objetos livianos.","Informe de prueba de manipulación con descripción del objeto, masa aproximada y posiciones de origen/destino.","El brazo toma, traslada y libera correctamente un objeto liviano; carga objetivo del prototipo: hasta 200 g."
Q5,T42,El brazo debe mover objetos entre posiciones predefinidas con precisión funcional.,"Informe de prueba de precisión funcional, indicando posición objetivo, resultado obtenido y desvíos observados.",El brazo completa una tarea de pick-and-place sin perder el objeto ni desviarse de forma que invalide la tarea.
Q6,T43,El sistema debe ejecutar una misma trayectoria varias veces con resultados consistentes.,"Registro de prueba de repetibilidad, cantidad de repeticiones, fallas y observaciones.",La misma trayectoria grabada se reproduce varias veces con resultado consistente; criterio propuesto: más de 30 repeticiones sin fallas relevantes.
Q7,"T26, T28",El sistema debe registrar trayectorias durante una sesión de enseñanza.,Documentar el formato de registro de trayectoria y realizar una prueba de grabación.,La trayectoria queda registrada con posiciones articulares y tiempos necesarios para reproducir el movimiento.
Q8,T28,El sistema debe guardar trayectorias registradas.,Documentar el mecanismo de almacenamiento y realizar prueba de guardado.,La trayectoria grabada queda identificada y disponible para uso posterior.
Q9,T30,El brazo debe reproducir automáticamente una trayectoria guardada.,Informe de prueba de reproducción automática.,La trayectoria seleccionada se ejecuta respetando la secuencia registrada durante la enseñanza.
Q10,"T29, T31",El usuario debe poder seleccionar y borrar trayectorias almacenadas.,Manual de uso de la interfaz local y registro de pruebas de selección/borrado.,Una trayectoria puede seleccionarse para reproducción; una trayectoria borrada deja de estar disponible.
Q11,T28,Las trayectorias deben conservarse luego de apagar y encender el sistema.,"Prueba de persistencia documentada: guardar, apagar, encender y recuperar.","Luego del reinicio, las trayectorias previamente guardadas siguen disponibles y reproducibles."
Q12,"T33, T34",El sistema debe contar con interfaz local para operar las funciones principales.,"Especificación de display/botonera, diagrama de menú y pruebas de operación.","La interfaz permite iniciar, grabar, guardar, seleccionar, reproducir, borrar y detener sin computadora externa durante el uso normal."
Q13,T33,El sistema debe informar claramente el estado actual del brazo.,Lista de estados documentada y prueba de visualización en la interfaz.,"La interfaz muestra estados mínimos: listo, enseñanza, grabando, guardado, reproduciendo, finalizado, error y detenido."
Q14,T35,El usuario debe poder encender y apagar el brazo de forma segura.,Procedimiento de encendido/apagado y lista de verificación de arranque.,"Al energizarse, el sistema no inicia movimientos automáticos inesperados y queda en condición conocida."
Q15,T35,El sistema debe permitir detener la ejecución ante una condición anormal.,Documentar la función de detención segura y ejecutar pruebas de interrupción.,La detención tiene prioridad sobre la reproducción de trayectorias y detiene la operación ante error o acción del usuario.
Q16,T36,El brazo debe realizar una preparación inicial antes de operar.,Procedimiento de inicialización documentado y prueba de arranque.,"El sistema inicia servicios de control, verifica estado general y queda listo para operar."
Q17,T25,El brazo debe contar con posición de referencia o Home.,Documentar la posición de referencia y el procedimiento para alcanzarla.,El brazo puede iniciar o finalizar operaciones desde una posición conocida y repetible.
Q18,T23,El sistema debe conocer el estado de las articulaciones durante la operación.,Prueba de lectura de posición de cada articulación y registro de datos.,"El sistema puede leer posiciones articulares para grabar, reproducir y detectar condiciones anormales."
Q19,T22,El sistema debe enviar comandos de movimiento a los actuadores.,Prueba de control individual de servomotores y prueba de movimiento coordinado.,"Cada servomotor responde a comandos del sistema y permite movimiento manual asistido, grabación y reproducción automática."
Q20,T36,El sistema debe iniciar automáticamente sus servicios principales.,Documentar configuración de arranque automático y prueba de encendido.,"Al encender el equipo, los servicios principales se inician sin que el usuario ejecute comandos internos manualmente."
Q21,"T04, T38, T60",El producto debe estar pensado para uso interior.,Documentar condiciones de uso previstas y restricciones ambientales.,"El prototipo queda especificado para interiores, no intemperie, sin lluvia, polvo excesivo, humedad elevada ni ambientes industriales agresivos."
Q22,T10,"La fuente principal debe alimentar brazo, computadora integrada e interfaz.","Memoria de cálculo o estimación de consumo, selección de fuente y prueba eléctrica.","La fuente seleccionada cubre el consumo previsto; criterio preliminar: fuente switching de 12 VCC y 20 A como mínimo, validada o ajustada por mediciones."
Q23,"T04, T37",El sistema debe contemplar construcción de bajo costo mediante impresión 3D.,"Documentar material, parámetros generales de impresión y piezas fabricadas.",Las piezas principales se imprimen en PLA/PLA+ para prototipo; se documenta decisión de mantener PLA o migrar a PETG en piezas estructurales.
Q24,T60,"El sistema debe contar con gabinete o soporte para electrónica, alimentación e interfaz.","Documentar integración física, cableado, ubicación de módulos y medidas de protección.","Electrónica, alimentación, servos, computadora integrada, display y botonera quedan montados y cableados de forma ordenada y segura."
Q25,"T24, T36",El sistema debe permitir validar funcionamiento antes de operar físicamente.,"Modelo de simulación, pruebas parciales o ensayos controlados documentados.",Se valida movimiento básico y funcionalidades principales antes de pruebas completas sobre el brazo físico.
Q26,T21,El sistema debe contar con un modelo de simulación.,"Documentar modelo ROS 2/Gazebo, configuración y pruebas realizadas.",El brazo carga correctamente en simulación y permite verificar movimientos básicos antes de la implementación física.
Q27,T47,El sistema debe superar una prueba de manipulación.,"Informe de prueba con objeto, masa, trayectoria y resultado.","El brazo toma, traslada y libera un objeto liviano entre dos posiciones."
Q28,T48,El sistema debe superar una prueba de repetibilidad.,"Informe de repeticiones de trayectoria grabada, con cantidad de ciclos y fallas.",La trayectoria se ejecuta repetidamente con resultado consistente y sin fallas críticas.
Q29,"T49, T50",El sistema debe superar una prueba de precisión funcional.,Informe de prueba específica de precisión.,Criterio propuesto: el brazo coloca un anillo sobre un dedo de una mano impresa en 3D.
Q30,T10,El consumo eléctrico debe medirse durante las pruebas del prototipo.,"Tabla de mediciones o estimaciones: reposo, movimiento manual, grabación, reproducción, carga liviana y mayor esfuerzo mecánico.",El consumo medido o estimado se compara con la capacidad de la fuente y no supera el margen admisible definido para el sistema.
