MATRIZ DE TRAZABILIDAD,,,,,,Actualización:,5 de June de 2026
"Nombre del proyecto: ""Brazo robótico programable mediante ROS para automatización de tareas repetitivas basado en grabación y reproducción de trayectorias""",,,,,,,
Código,Identificación Requisito,Descripción del Requisito,Objetivo,Implementación,Importancia,Fecha,Comentario
1.0,Selección de modelo de brazo robótico,Se debe elgir el brazo mecánico y los servomotores a utilizar para acelerar el desarrollo.,Acelerar tiempo de desarrollo,Estudio de brazos y servomotores de precisión disponibles en el mercado,ALTA,5/6/2026,No se diseñará un brazo robótico desde cero. Elección: Brazo SO-ARM101. Servo STS3215
2.0,Programación por Demostración (PbD),El sistema debe registrar las posiciones mientras el usuario mueve el brazo manualmente,Permitir que usuarios sin conocimientos de programación automaticen tareas rápidamente,Lógica en ROS2 que capture los estados de los servomotores en tiempo real (modo líder),ALTA,,Es el núcleo del proyecto.
3.0,Reproducción de Trayectorias,El brazo debe reproducir la secuencia de movimientos grabada de forma automática,Ejecutar tareas repetitivas de manipulación con precisión y repetibilidad,Algoritmos de planificación de movimientos en ROS2 enviando instrucciones al controlador de servos,ALTA,,
4.0,Grados de Libertad (DOF),El manipulador contará con 5 grados de libertad más una pinza (grip),Proporcionar la movilidad necesaria para tareas de pick-and-place,Estructura basada en el diseño SO-ARM100 con 6 servomotores,ALTA,,Servomotores elegidos STS3215
5.0,Control mediante ROS2,Toda la lógica de cinemática y control debe ejecutarse bajo el ecosistema ROS2,Utilizar un standar que facilite la modularidad y futura expansión,Computadora integrada (Jetson Nano o BeagleBone) ejecutando ROS2,ALTA,,El manejo de ROS es la base para que funcione el proyecto
6.0,Simulación en Gazebo,El sistema debe contar con un modelo virtual,Validar la lógica de control y cinemática antes de la implementación física,Modelo URDF del brazo y configuración en el entorno Gazebo,MEDIA,,
7.0,Manipulación de Objetos,Capacidad para sujetar y trasladar objetos ligeros entre posiciones predefinidas,Automatizar líneas de montaje o estaciones de testing electrónico,Grip accionado por servomotor,MEDIA,,
8.0,Gestión de memoria,Capacidad de almacenar hasta 3 tareas o trayectorias diferentes,Permitir el cambio rápido entre diferentes tareas,Sistema de almacenamiento de archivos de trayectoria en la computadora integrada,MEDIA,,
9.0,Construcción del brazo robótico,Relización física del prototipo de brazo robótico,Materializar el proyecto en mundo real,El brazo se fabricará con impresión 3D en PLA/PETG,ALTA,,
10.0,Interfaz de Usuario Física,"Botonera integrada para funciones de grabar, reproducir, seleccionar y borrar tareas",Eliminar la necesidad de una computadora externa durante la operación normal en planta,Panel de botones y Display LCD 20x4 conectados a la computadora integrada,MEDIA,,El diseño debe ser intuitivo para el usuario
