,Listado de riesgos,Última actualización: 07-08-2026
,ID,Riesgo,Probabilidad,Impacto,Prioridad,Plan de acción,Plan de contingencia
,R1,Retraso en la compra e importación de servomotores STS3215 y controlador,Alta,Alta,Muy Alta,Comprar servos y controlador cuanto antes.,Usar servos alternativos MG90 para pruebas y reacondicionar modelo 3D.
,R2,El brazo impreso en 3D no posee la rigidez esperada,Media,Media,Media,Imprimir prototipo PLA. El proyecto base está impreso con PLA.,Imprimir prototipo con PETG.
,R3,El brazo impreso en 3D no posee la precisión esperada,Media,Alta,Muy Alta,Utilizar servomotores de precisión STS3215,Reducir alcance de precisión.
,R4,Dificultades en la implementación ROS 2 de grabación y reproducción de trayectorias,Alta,Alta,Muy Alta,Implementación gradual de funcionalidades junto con sus test.,Enfocarse solamente en grabación y reproducción básica.
,R5,Incompatibilidad o limitaciones de la computadora embebida seleccionada para ejecutar ROS 2 y comunicarse con el microcontrolador del sistema.,Baja,Alta,Media,Validar tempranamente la computadora embebida con ROS 2.,Migrar a una computadora embebida con mayores prestaciones o reducir el uso de ROS 2 a los nodos mínimos necesarios.
,R6,Falta de tiempo para integrar hardware y software,Alta,Alta,Muy Alta,Planificar entregas incrementales.,Reducir alcance.
,R7,Errores de calibración que afectan la repetibilidad,Media,Alta,Media,Diseñar procedimiento de calibración automática.,Recalibración manual antes de cada uso.
,R8,Problemas de alimentación,Baja,Alta,Alta,Dimensionar fuente de alimentación necesaria.,Usar fuente independiente para los servomotores.
,R9,Baja precisión de los servomotores seleccionados,Baja,Alta,Media,Los servomotores STS3215 son de precisión. Dependerá del alcance.,Reducir alcance de precisión.
,R10,Curva de aprendizaje de ROS 2 superior a la prevista,Media,Alta,Media,Comenzar a estudiar ROS 2 cuanto antes. Cursos.,"Reducir funcionalidades ROS 2 a los nodos mínimos necesarios para grabación, reproducción y comunicación con el microcontrolador."
,R11,Fallas de impresión 3D o necesidad de reimpresión,Media,Media,Media,Reimprimir la pieza.,Reimprimir piezas con materiales más resistentes.
,R12,Incremento de costos de componentes importados,Alta,Media,Alta,Comprar componentes cuanto antes.,Buscar proveedores alternativos o usar hardware alternativo.
,R13,"Errores en el diseño, ruteo o fabricación de la PCB de interfaz.",Media,Alta,Alta,"Revisar esquemático, ejecutar ERC/DRC, validar conexiones críticas y agregar puntos de medición.","Usar módulos comerciales, placa perforada o cableado forma temporal."
,R14,"Incompatibilidad eléctrica entre computadora embebida, microcontrolador, servos, display y botonera.",Media,Alta,Alta,"Definir niveles lógicos, tensiones de alimentación, masas comunes, protecciones y conversores de nivel antes de fabricar la PCB.",Incorporar adaptadores externos o separar módulos para pruebas.
,R15,Ruido eléctrico o picos de corriente de los servomotores que afecten la lógica de control.,Media,Alta,Alta,Separar alimentación de potencia y lógica con protecciones en la placa.,Usar fuentes separadas para servos y electrónica de control.
,R16,Fallas en la comunicación entre computadora embebida y microcontrolador.,Media,Alta,Alta,Definir protocolo simple y pruebas unitarias.,"Operar temporalmente desde firmware local, desde PC externa o mediante comandos manuales de prueba."
,R17,La detención segura no responde correctamente.,Baja,Alta,Alta,Implementar detención segura con nivel de prioridad alto y validar escenarios de error.,Incorporar corte físico de alimentación de servos.
,R18,La simulación no representa adecuadamente el comportamiento del brazo real.,Media,Media,Media,Validar el modelo en Gazebo con dimensiones reales del prototipo.,Ajustar trayectorias y parámetros directamente sobre el brazo físico con movimientos limitados.
,R19,Pérdida o corrupción de trayectorias almacenadas.,Baja,Alta,Media,Validar datos antes de dar por finalizado el almacenamiento.,Regrabar trayectorias y conservar copias de configuración.
,R20,Interfaz local poco clara o difícil de operar.,Media,Media,Media,"Probar tempranamente el flujo de display, botones, estados y mensajes de error.",Permitir operación alternativa mediante potenciómetros específicos para cada servomotor y operación por consola.
